# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct  3 21:50:15 2025
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN fpp_koi_period: KOI Transit Period [days]
# COLUMN fpp_prad:       Planet Radius Value [Earth radii]
# COLUMN fpp_prob:       Probability to be Any of the Considered Astrophysical False Positive Scenarios
# COLUMN fpp_score:      Sum of Likelihood for All of the Considered Models (DR24) or Shape Score (DR25)
# COLUMN fpp_delivname:  Name of Delivery
# COLUMN fpp_spec_occrate: Specific Planet Occurrence Rate
# COLUMN fpp_secthresh:  Maximum Allowed Secondary Eclipse Depth [ppm]
# COLUMN fpp_maxrad:     Maximum Allowed Sky-Projected Distance for False Positive [arcsec]
# COLUMN fpp_prob_heb:   Probability to be a Hierarchical Eclipsing Binary
# COLUMN fpp_prob_ueb:   Probability to be an Unblended Eclipsing Binary
# COLUMN fpp_prob_beb:   Probability to be a Blended Eclipsing Binary
# COLUMN fpp_prob_heb_dbl: Probability to be a Double Period Hierarchical Eclipsing Binary
# COLUMN fpp_prob_ueb_dbl: Probability to be a Double Period Unblended Eclipsing Binary
# COLUMN fpp_prob_beb_dbl: Probability to be a Double Period Blended Eclipsing Binary
# COLUMN fpp_ror:        Planet-Star Radius Ratio
# COLUMN fpp_steff:      Stellar Effective Temperature [K]
# COLUMN fpp_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN fpp_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN fpp_srad:       Stellar Radius [Solar radii]
# COLUMN fpp_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN fpp_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN fpp_smass:      Stellar Mass [Solar mass]
# COLUMN fpp_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN fpp_smass_err2: Stellar Mass Lower Unc. [Solar mass]
# COLUMN fpp_sage:       Stellar Age [Gyr]
# COLUMN fpp_sage_err1:  Stellar Age Upper Unc. [Gyr]
# COLUMN fpp_sage_err2:  Stellar Age Lower Unc. [Gyr]
# COLUMN fpp_dist:       Distance [pc]
# COLUMN fpp_dist_err1:  Distance Upper Unc. [pc]
# COLUMN fpp_dist_err2:  Distance Lower Unc. [pc]
# COLUMN fpp_av:         Av Extinction [mag]
# COLUMN fpp_av_err1:    Av Extinction Upper Unc. [mag]
# COLUMN fpp_av_err2:    Av Extinction Lower Unc. [mag]
#
kepid,kepoi_name,fpp_koi_period,fpp_prad,fpp_prob,fpp_score,fpp_delivname,fpp_spec_occrate,fpp_secthresh,fpp_maxrad,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_ror,fpp_steff,fpp_steff_err1,fpp_steff_err2,fpp_srad,fpp_srad_err1,fpp_srad_err2,fpp_smass,fpp_smass_err1,fpp_smass_err2,fpp_sage,fpp_sage_err1,fpp_sage_err2,fpp_dist,fpp_dist_err1,fpp_dist_err2,fpp_av,fpp_av_err1,fpp_av_err2
6508221,K00416.03,9.748,0.82,9.50000e-01,1.00000e+00,q1_q17_dr25_koi,0.0510,57,3.30,1.40000000000e-08,1.90000000000e-08,1.80000000000e-01,1.80000e-04,8.3000000000e-04,7.70000000000e-01,0.010,5212.00,73.30,-68.78,0.7500,0.0210,-0.0240,0.8300,0.0340,-0.0380,9.30,0.302,-0.436,457.00,14.73,-16.33,0.150,0.085,-0.090
6879865,K00417.01,19.193,14.58,8.60000e-01,1.00000e+00,q1_q17_dr25_koi,0.0590,155,0.50,6.70000000000e-02,7.90000000000e-01,2.00000000000e-03,2.30000e-04,1.7000000000e-03,5.30000000000e-06,0.126,5851.00,250.22,-236.41,1.0600,0.2000,-0.1230,1.0100,0.1160,-0.0860,9.68,0.233,-0.332,1015.00,207.88,-126.61,0.340,0.184,-0.199
7975727,K00418.01,22.418,11.87,1.40000e-02,1.00000e+00,q1_q17_dr25_koi,0.0770,555,0.50,4.60000000000e-04,8.90000000000e-03,4.80000000000e-03,3.90000e-05,1.6000000000e-04,3.10000000000e-12,0.112,5655.00,118.00,-166.76,0.9700,0.1680,-0.0970,0.9600,0.0600,-0.0600,9.82,0.169,-0.412,686.00,119.14,-73.89,0.520,0.094,-0.151
8219673,K00419.01,20.131,42.75,9.90000e-01,1.00000e+00,q1_q17_dr25_koi,0.0010,105,0.50,6.30000000000e-02,9.30000000000e-01,1.10000000000e-03,1.60000e-04,1.9000000000e-03,2.90000000000e-05,0.392,5747.00,74.84,-72.41,1.0000,0.1530,-0.0960,0.9700,0.0480,-0.0540,9.78,0.156,-0.426,869.00,133.31,-85.47,0.070,0.049,-0.046
8352537,K00420.01,6.010,3.78,5.70000e-08,1.00000e+00,q1_q17_dr25_koi,0.1230,43,0.50,3.60000000000e-09,1.40000000000e-19,5.30000000000e-08,8.80000e-11,2.0000000000e-16,1.10000000000e-14,0.047,4829.00,41.62,-44.95,0.7400,0.0290,-0.0350,0.7700,0.0390,-0.0430,9.84,0.257,-0.690,364.00,16.09,-18.47,0.100,0.036,-0.057
9115800,K00421.01,4.454,11.43,3.80000e-04,1.00000e+00,q1_q17_dr25_koi,0.0770,88,0.50,2.20000000000e-04,1.50000000000e-04,5.10000000000e-08,1.40000e-07,4.9000000000e-13,7.00000000000e-17,0.118,5443.00,252.55,-210.54,0.8900,0.1010,-0.0710,0.8900,0.0730,-0.0590,9.84,0.202,-0.439,765.00,98.01,-69.66,0.400,0.223,-0.215
9214713,K00422.01,809.014,18.53,3.80000e-01,1.00000e+00,q1_q17_dr25_koi,0.0280,377,0.50,3.10000000000e-02,3.40000000000e-01,1.60000000000e-03,7.10000e-06,7.7000000000e-07,1.10000000000e-06,0.126,6235.00,91.41,-112.18,1.3500,0.5270,-0.2020,1.2200,0.1630,-0.0940,9.46,0.101,-0.248,1410.00,548.78,-213.32,0.300,0.039,-0.075
9478990,K00423.01,21.087,12.84,3.90000e-04,1.00000e+00,q1_q17_dr25_koi,0.0710,159,0.50,2.40000000000e-04,1.60000000000e-04,2.30000000000e-09,8.50000e-11,1.1000000000e-06,3.50000000000e-43,0.087,6334.00,106.24,-106.03,1.3500,0.2530,-0.1700,1.1900,0.1080,-0.0860,9.50,0.101,-0.154,1195.00,216.68,-153.70,0.320,0.072,-0.076
9597411,K00424.01,1.576,35.14,7.90000e-01,1.00000e+00,q1_q17_dr25_koi,0.0010,160,0.50,1.40000000000e-01,1.30000000000e-01,6.80000000000e-05,2.10000e-02,5.1000000000e-01,1.70000000000e-04,0.306,5913.00,203.37,-137.35,1.0500,0.1950,-0.1140,1.0200,0.0880,-0.0720,9.64,0.196,-0.375,1043.00,201.48,-120.03,0.150,0.151,-0.104
9967884,K00425.01,5.428,17.28,8.40000e-01,1.00000e+00,q1_q17_dr25_koi,0.0410,94,0.50,9.60000000000e-02,7.40000000000e-01,6.30000000000e-04,2.30000e-04,1.2000000000e-03,1.80000000000e-06,0.141,5942.00,207.27,-215.25,1.1200,0.2140,-0.1460,1.0600,0.1160,-0.0810,9.61,0.231,-0.326,1055.00,214.57,-142.98,0.300,0.145,-0.173
